iso_country,name,iata_code
US,Ocean Reef Club Airport,OCA
US,Crested Butte Airpark,CSE
US,Columbus Airport,CUS
US,LBJ Ranch Airport,JCY
US,Loring Seaplane Base,WLR
US,Nunapitchuk Airport,NUP
US,Port Alice Seaplane Base,PTC
US,Icy Bay Airport,ICY
US,Port Protection Seaplane Base,PPV
US,Kalakaket Creek AS Airport,KKK
US,Dunsmuir Muni-Mott Airport,MHS
US,Chase Field Industrial Airport,NIR
US,Grand Canyon Bar Ten Airstrip,GCT
US,Ellamar Seaplane Base,ELW
US,Lime Village Airport,LVD
US,Hog River Airport,HGZ
US,Ed-Air Airport,OTN
US,Telida Airport,TLF
US,Eagle Air Park,BZT
US,Entrance Island Seaplane Base,HBH
US,False Island Seaplane Base,FAK
US,Blakely Island Airport,BYW
US,Drift River Airport,DRF
US,Rinkenberger Restricted Landing Area,BDF
US,Tetlin Airport,TEH
US,Roy Otten Memorial Airfield,VRS
US,Golden Horn Lodge Seaplane Base,GDH
US,Atmautluak Airport,ATT
US,Livengood Camp Airport,LIV
US,Pedro Bay Airport,PDB
US,Ouzinkie Airport,KOZ
US,Tununak Airport,TNK
US,Hyder Seaplane Base,WHD
US,Minto Al Wright Airport,MNT
US,Tokeen Seaplane Base,TKI
US,Aleknagik / New Airport,WKK
US,Ketchikan Harbor Seaplane Base,WFB
US,Rollang Field,RFK
US,Naknek Airport,NNK
US,Lake Brooks Seaplane Base,BKF
US,Southern Seaplane Airport,BCS
US,Minute Man Air Field,MMN
US,Catalina Air-Sea Terminal Heliport,SPQ
US,East 34th Street Heliport,TSS
US,New York Skyports Inc Seaplane Base,NYS
US,Earl Henry Airport,BWL
US,Yes Bay Lodge Seaplane Base,WYB
US,Center Island Airport,CWS
US,Tatitlek Airport,TEK
US,Pine Island Airport,DUF
US,Stuart Island Airpark,SSW
US,Fort Bragg Airport,FOB
US,Port of Poulsbo Marina Moorage Seaplane Base,PUL
US,Century City Heliport,CCD
US,Meyers Chuck Seaplane Base,WMK
US,Maxson Airfield,AXB
US,Reese Airpark,REE
US,Waldron Airstrip,WDN
US,Whale Pass Seaplane Float Harbor Facility,WWP
US,Chuathbaluk Airport,CHU
US,Ugashik Airport,UGS
US,Recreation and Conference Center Heliport,JID
US,Philadelphia Seaplane Base,PSQ
US,Levelock Airport,KLL
US,Saginaw Seaplane Base,SGW
US,Tuntutuliak Airport,WTL
US,Twin Hills Airport,TWA
US,Chignik Lake Airport,KCQ
US,Chena Hot Springs Airport,CEX
US,Solomon State Field,SOL
US,Herendeen Bay Airport,HED
US,Taylor Airport,TWE
US,Tikchik Lodge Seaplane Base,KTH
US,Naukati Bay Seaplane Base,NKI
US,Candle 2 Airport,CDL
US,Amook Bay Seaplane Base,AOS
US,Boswell Bay Airport,BSW
US,Alitak Seaplane Base,ALZ
US,Girdwood-Alyeska Airport,AQY
US,Lava Falls Heliport,HAE
US,Baranof Warm Springs Float and Seaplane Base,BNF
US,Bartlett Cove Seaplane Base,BQV
US,Boundary Airport,BYA
US,Paradise Skypark Airport,PYS
US,Craig Seaplane Base,CGA
US,Circle Hot Springs Airport,CHP
US,Chomley Seaplane Base,CIV
US,Crooked Creek Airport,CKD
US,Crane Island Airstrip,CKR
US,Cordova Municipal Airport,CKU
US,Chicken Airport,CKX
US,Chitina Airport,CXC
US,Chatham Seaplane Base,CYM
US,Chisana Airport,CZN
US,Chistochina Airport,CZO
US,Canandaigua Airport,IUA
US,Delta Junction Airport,DJN
US,Dahl Creek Airport,DCK
US,Deer Harbor SPB,DHB
US,Diomede Heliport,DIO
US,Edna Bay Seaplane Base,EDA
US,Excursion Inlet Seaplane Base,EXI
US,Ranger Municipal Airport,RGR
US,Flat Airport,FLT
US,Goodnews Airport,GNU
US,Hanchey Army (Fort Rucker) Heliport,HEY
US,Tusi (Hunter Liggett) Army Heliport,HGT
US,Princeville Airport,HPV
US,Waikoloa Heliport,WKL
US,Healy Lake Airport,HKB
US,Hawk Inlet Seaplane Base,HWI
US,Hollis Clark Bay Seaplane Base,HYL
US,Quartz Creek Airport,JLA
US,Pentagon Army Heliport,JPN
US,West 30th Street Heliport,JRA
US,Downtown Manhattan Heliport,JRB
US,Animas Air Park,AMK
US,Broadus Airport,BDX
US,Eureka Airport,EUE
US,Jackpot Airport/Hayden Field,KPT
US,Rolla Downtown Airport,RLA
US,Elizabeth Field,FID
US,Humboldt Municipal Airport,HUD
US,Jefferson County International Airport,TWD
US,Kayenta Airport,MVM
US,Columbia County Airport,HCC
US,Ardmore Downtown Executive Airport,AHD
US,Grand Canyon West Airport,GCW
US,Lampson Field,CKE
US,Montague-Yreka Rohrer Field,ROF
US,Fremont County Airport,CNE
US,Rouses Point Seaplane Base,RSX
US,Cooperstown-Westville Airport,COP
US,Council Airport,CIL
US,Parlin Field,NWH
US,Iraan Municipal Airport,IRB
US,Garrett County Airport,ODM
US,Gansner Field,GNF
US,Chiloquin State Airport,CHZ
US,St. Mary's County Regional Airport,LTW
US,"Union County, Troy Shelton Field",USC
US,Arapahoe Municipal Airport,AHF
US,Princeton Airport,PCT
US,Calverton Executive Airpark,CTO
US,Grand Lake Regional Airport,NRI
US,Grants Pass Airport,GTP
US,Jerry Tyler Memorial Airport,NLE
US,Grand Coulee Dam Airport,GCD
US,Valle Airport,VLE
US,Perry-Foley Airport,FPY
US,Manti-Ephraim Airport,NTJ
US,Salina Gunnison Airport,SBO
US,Central Jersey Regional Airport,JVI
US,Eunice Airport,UCE
US,Gold Beach Municipal Airport,GOL
US,Kentland Municipal Airport,KKT
US,Prentice Airport,PRW
US,Maverick County Memorial International Airport,EGP
US,Boulder City Municipal Airport,BLD
US,Mesquite Airport,MFH
US,Iosco County Airport,ECA
US,Florence Municipal Airport,FMU
US,Anacortes Airport,OTS
US,Roosevelt Municipal Airport,ROL
US,Canton Municipal Airport,CTK
US,North Fork Valley Airport,WPO
US,Antlers Municipal Airport,ATE
US,Austin Airport,ASQ
US,Apalachicola Regional Airport,AAF
US,Lehigh Valley International Airport,ABE
US,Abilene Regional Airport,ABI
US,Albuquerque International Sunport,ABQ
US,Aberdeen Regional Airport,ABR
US,Southwest Georgia Regional Airport,ABY
US,Antrim County Airport,ACB
US,Nantucket Memorial Airport,ACK
US,Waco Regional Airport,ACT
US,California Redwood Coast-Humboldt County Airport,ACV
US,Atlantic City International Airport,ACY
US,Lenawee County Airport,ADG
US,Ada Regional Airport,ADT
US,Ardmore Municipal Airport,ADM
US,Addison Airport,ADS
US,Joint Base Andrews,ADW
US,Kake Seaplane Base,KAE
US,Albert Lea Municipal Airport,AEL
US,Alexandria International Airport,AEX
US,USAF Academy Airfield,AFF
US,Washington County Airport,WSG
US,Jaffrey Airfield Silver Ranch Airport,AFN
US,Afton Municipal Airport,AFO
US,Perot Field/Fort Worth Alliance Airport,AFW
US,Allegheny County Airport,AGC
US,Magnolia Municipal Airport / Ralph C Weiser Field,AGO
US,Augusta Regional At Bush Field,AGS
US,Amedee Army Air Field,AHC
US,Amery Municipal Airport,AHH
US,Athens Ben Epps Airport,AHN
US,Alliance Municipal Airport,AIA
US,Anderson Municipal Darlington Field,AID
US,Aiken Regional Airport,AIK
US,Atlantic Municipal Airport,AIO
US,George Downer Airport,AIV
US,Lee C Fine Memorial Airport,AIZ
US,Colorado Plains Regional Airport,AKO
US,Akron Fulton International Airport,AKC
US,Albany International Airport,ALB
US,Alice International Airport,ALI
US,Alamogordo White Sands Regional Airport,ALM
US,St Louis Regional Airport,ALN
US,Waterloo Regional Airport,ALO
US,San Luis Valley Regional Airport/Bergman Field,ALS
US,Walla Walla Regional Airport,ALW
US,Thomas C Russell Field,ALX
US,Rick Husband Amarillo International Airport,AMA
US,Gratiot Community Airport,AMN
US,Ames Municipal Airport,AMW
US,Anniston Regional Airport,ANB
US,Anderson Regional Airport,AND
US,Salida Airport - Harriet Alexander Field,SLT
US,Lee Airport,ANP
US,Tri State Steuben County Airport,ANQ
US,Ainsworth Regional Airport,ANW
US,Anthony Municipal Airport,ANY
US,Lima Allen County Airport,AOH
US,Altoona Blair County Airport,AOO
US,Centennial Airport,APA
US,Napa County Airport,APC
US,Naples Municipal Airport,APF
US,Phillips Army Air Field,APG
US,Mary Walker LZ Airport,APH
US,Alpena County Regional Airport,APN
US,Marion County Airport - Brown Field,APT
US,Apple Valley Airport,APV
US,Acadiana Regional Airport,ARA
US,Ann Arbor Municipal Airport,ARB
US,Walnut Ridge Regional Airport,ARG
US,Wharton Regional Airport,WHT
US,Aurora Municipal Airport,AUZ
US,Watertown International Airport,ART
US,Lakeland Airport Noble F Lee Memorial Field,ARV
US,Beaufort Executive Airport,BFT
US,Aspen-Pitkin County Airport (Sardy Field),ASE
US,Springdale Municipal Airport,SPZ
US,Nashua Airport / Boire Field,ASH
US,Harrison County Airport,ASL
US,Talladega Municipal Airport,ASN
US,Astoria Regional Airport,AST
US,John F Kennedy Memorial Airport,ASX
US,Ashley Municipal Airport,ASY
US,Hartsfield Jackson Atlanta International Airport,ATL
US,Artesia Municipal Airport,ATS
US,Appleton International Airport,ATW
US,Watertown Regional Airport,ATY
US,Augusta State Airport,AUG
US,Austin Municipal Airport,AUM
US,Auburn Municipal Airport,AUN
US,Auburn University Regional Airport,AUO
US,Austin Bergstrom International Airport,AUS
US,Wausau Downtown Airport,AUW
US,Asheville Regional Airport,AVL
US,Avon Park Executive Airport,AVO
US,Wilkes Barre Scranton International Airport,AVP
US,Marana Regional Airport,AVW
US,Catalina Airport,AVX
US,West Memphis Municipal Airport,AWM
US,Algona Municipal Airport,AXG
US,Chandler Field,AXN
US,Altus Quartz Mountain Regional Airport,AXS
US,Neil Armstrong Airport,AXV
US,Angel Fire Airport,AXX
US,Waycross Ware County Airport,AYS
US,Arnold Air Force Base,TUH
US,Kalamazoo Battle Creek International Airport,AZO
US,Beale Air Force Base,BAB
US,Barksdale Air Force Base,BAD
US,Westfield-Barnes Regional Airport,BAF
US,Columbus Municipal Airport,CLU
US,Battle Mountain Airport,BAM
US,Benson Municipal Airport,BBB
US,Curtis Field,BBD
US,Branson Airport,BKG
US,Marlboro County Jetport - H E Avent Field Airport,BTN
US,Broken Bow Municipal Airport,BBW
US,Virginia Tech Montgomery Executive Airport,BCB
US,Bryce Canyon Airport,BCE
US,Boca Raton Airport,BCT
US,Baudette International Airport,BDE
US,Blanding Municipal Airport,BDG
US,Willmar Municipal Airport John L Rice Field (2006),ILL
US,Bradley International Airport,BDL
US,Igor I Sikorsky Memorial Airport,BDR
US,Boulder Municipal Airport,WBU
US,Bell Island Hot Springs Seaplane Base,KBE
US,Beech Factory Airport,BEC
US,Laurence G Hanscom Field,BED
US,Southwest Michigan Regional Airport,BEH
US,Bradford Regional Airport,BFD
US,Western Neb. Rgnl/William B. Heilig Airport,BFF
US,Boeing Field King County International Airport,BFI
US,Meadows Field,BFL
US,Mobile Downtown Airport,BFM
US,Virgil I Grissom Municipal Airport,BFR
US,Hutchinson County Airport,BGD
US,Decatur County Industrial Air Park,BGE
US,Greater Binghamton/Edwin A Link field,BGM
US,Bangor International Airport,BGR
US,Hancock County-Bar Harbor Airport,BHB
US,Birmingham-Shuttlesworth International Airport,BHM
US,Block Island State Airport,BID
US,Beatrice Municipal Airport,BIE
US,Biggs Army Air Field (Fort Bliss),BIF
US,Eastern Sierra Regional Airport,BIH
US,Billings Logan International Airport,BIL
US,Bismarck Municipal Airport,BIS
US,Keesler Air Force Base,BIX
US,Rocky Mountain Metropolitan Airport,BJC
US,Bemidji Regional Airport,BJI
US,Wayne County Airport,BJJ
US,Stephens County Airport,BKD
US,Baker City Municipal Airport,BKE
US,Buckley Space Force Base,BFK
US,Burke Lakefront Airport,BKL
US,Allen C Perkinson Blackstone Army Air Field,BKT
US,Raleigh County Memorial Airport,BKW
US,Brookings Regional Airport,BKX
US,Mercer County Airport,BLF
US,Blythe Airport,BLH
US,Bellingham International Airport,BLI
US,Monmouth Executive Airport,BLM
US,Blue Canyon Nyack Airport,BLU
US,Scott AFB/Midamerica Airport,BLV
US,Brigham City Regional Airport,BMC
US,Monroe County Airport,BMG
US,Central Illinois Regional Airport at Bloomington-Normal,BMI
US,Berlin Regional Airport,BML
US,Beaumont Municipal Airport,BMT
US,Nashville International Airport,BNA
US,Banning Municipal Airport,BNG
US,Barnwell Regional Airport,BNL
US,Burns Municipal Airport,BNO
US,Boone Municipal Airport,BNW
US,Boise Air Terminal/Gowen Field,BOI
US,Brookings Airport,BOK
US,Logan International Airport,BOS
US,Bartow Executive Airport,BOW
US,Big Spring Mc Mahon-Wrinkle Airport,HCA
US,Miley Memorial Field,BPI
US,Ozark Regional Airport,WMH
US,Jack Brooks Regional Airport,BPT
US,Brunswick Golden Isles Airport,BQK
US,Brainerd Lakes Regional Airport,BRD
US,Southeast Iowa Regional Airport,BRL
US,Brownsville South Padre Island International Airport,BRO
US,Samuels Field,BRY
US,Skypark Airport,BTF
US,Battle Creek Executive Airport at Kellogg Field,BTL
US,Bert Mooney Airport,BTM
US,Britton Municipal Airport,TTO
US,Pittsburgh/Butler Regional Airport,BTP
US,Baton Rouge Metropolitan Airport,BTR
US,Burlington International Airport,BTV
US,Beatty Airport,BTY
US,Cram Field,BUB
US,Buffalo Niagara International Airport,BUF
US,Butler Memorial Airport,BUM
US,Hollywood Burbank Airport,BUR
US,Beaver County Airport,BFP
US,Bartlesville Municipal Airport,BVO
US,Skagit Regional Airport,MVW
US,Batesville Regional Airport,BVX
US,Beverly Regional Airport,BVY
US,Brawley Municipal Airport,BWC
US,Brownwood Regional Airport,BWD
US,Bowling Green Warren County Regional Airport,BWG
US,Baltimore/Washington International Thurgood Marshall Airport,BWI
US,Harry Stern Airport,WAH
US,Bowman Regional Airport,BWM
US,George R Carr Memorial Air Field,BXA
US,Buckeye Municipal Airport,BXK
US,Brunswick Executive Airport,NHZ
US,Johnson County Airport,BYG
US,Arkansas International Airport,BYH
US,Burley Municipal Airport,BYI
US,Bicycle Lake Army Air Field,BYS
US,Bay City Regional Airport,BBC
US,Bozeman Yellowstone International Airport,BZN
US,Grand Geneva Resort Airport,XES
US,Plymouth Municipal Airport,PLY
